,num,lat,lon,Tmax,Tmin,prec,TH0,TL1,sqrt_dw,sqrt_p
33,13,41.657068876,-87.546048865,90.0,56.0,0.74,78.0,68.0,0.053708848533524145,0.05963816778460306
34,4,41.704338415,-87.657084272,90.0,56.0,0.74,78.0,68.0,0.12258131236267326,0.05287960915046234
36,2,41.918675754,-87.66437444399999,90.0,56.0,0.74,78.0,68.0,0.0239061925174644,0.057672063933671976
37,26,41.742670478,-87.731550059,90.0,56.0,0.74,78.0,68.0,0.17819336289604845,0.05908290095055221
39,18,41.904773448,-87.755685753,90.0,56.0,0.74,78.0,68.0,0.17405141762590076,0.0
40,7,41.659236018,-87.612015128,90.0,56.0,0.74,78.0,68.0,0.08003388922692806,0.014381213166522097
41,1,41.800597087,-87.711730345,90.0,56.0,0.74,78.0,68.0,0.16447870687533103,0.08145302645000929
42,6,41.962014638,-87.646847726,90.0,56.0,0.74,78.0,68.0,0.05932232011692888,0.006646072113459674
43,33,42.010643274,-87.8067973,90.0,56.0,0.74,78.0,68.0,0.13891958244136354,0.0
44,27,41.987880692,-87.666785075,90.0,56.0,0.74,78.0,68.0,0.09486117247401259,0.029284720946763213
45,49,41.987244608000005,-87.68941677,90.0,56.0,0.74,78.0,68.0,0.019956890581410404,0.006715006199679729
46,15,41.913567582,-87.72630030200001,90.0,56.0,0.74,78.0,68.0,0.15274542569647204,0.045738345262628
47,4,41.921776903,-87.632140452,90.0,56.0,0.74,78.0,68.0,0.03263564069143447,0.0
48,1,41.657068876,-87.546048865,90.0,56.0,0.74,78.0,68.0,0.053708848533524145,0.05963816778460306
49,2,41.953664151999995,-87.724987191,90.0,56.0,0.74,78.0,68.0,0.14245854743044195,0.008885545521705354
51,7,41.896131093,-87.656762124,90.0,56.0,0.74,78.0,68.0,0.067642277648985,0.05707747606380519
52,50,41.659236018,-87.612015128,90.0,56.0,0.74,78.0,68.0,0.08003388922692806,0.014381213166522097
53,6,41.918675754,-87.66437444399999,90.0,56.0,0.74,78.0,68.0,0.0239061925174644,0.057672063933671976
54,29,41.872872862,-87.764736532,90.0,56.0,0.74,78.0,68.0,0.04874109427865112,0.0
55,8,41.774841115,-87.72800581899999,90.0,56.0,0.74,78.0,68.0,0.13883934145077015,0.013176293577738935
56,12,41.923887364,-87.778909912,90.0,56.0,0.74,78.0,68.0,0.06688200940255568,0.0
57,6,41.883711295,-87.71609209200001,90.0,56.0,0.74,78.0,68.0,0.0036916723257325573,0.0
58,12,42.007997503,-87.778234965,90.0,56.0,0.74,78.0,68.0,0.07577168867150579,0.03129335234961226
59,13,41.993564362,-87.74542038700001,90.0,56.0,0.74,78.0,68.0,0.10059302343030734,0.0761341755075271
60,50,41.798210726,-87.73692496299999,90.0,56.0,0.74,78.0,68.0,0.14767048862528212,0.06585225705572206
61,4,41.742670478,-87.731550059,90.0,56.0,0.74,78.0,68.0,0.17819336289604845,0.05908290095055221
62,12,41.892219983000004,-87.691697729,90.0,56.0,0.74,78.0,68.0,0.11996094178493685,0.014914044650244868
63,2,41.791689564,-87.781635971,90.0,56.0,0.74,78.0,68.0,0.21350413447742417,0.043225784794208494
64,47,41.778128858,-87.586245035,90.0,56.0,0.74,78.0,68.0,0.066974128324774,0.0
65,13,41.953664151999995,-87.724987191,90.0,56.0,0.74,78.0,68.0,0.14245854743044195,0.008885545521705354
66,5,41.801047857,-87.680424734,90.0,56.0,0.74,78.0,68.0,0.12005767619003087,0.02846289506117252
67,5,41.710542402,-87.584558933,90.0,56.0,0.74,78.0,68.0,0.07422721791287477,0.0806016204354327
68,38,41.765752525,-87.56246520799999,90.0,56.0,0.74,78.0,68.0,0.04292907552931314,0.025142656300456832
69,29,41.872872862,-87.764736532,90.0,56.0,0.74,78.0,68.0,0.04874109427865112,0.0
70,3,41.883771777,-87.716168365,90.0,56.0,0.74,78.0,68.0,0.0,0.0
71,6,41.986319851,-87.728378456,90.0,56.0,0.74,78.0,68.0,0.05142467714415095,0.006352782672687366
72,30,41.974522760999996,-87.80458947,90.0,56.0,0.74,78.0,68.0,0.1146846790141019,0.07265509856769375
74,11,41.794366478,-87.648925137,90.0,56.0,0.74,78.0,68.0,0.08203692627075344,0.05106697677478291
75,33,41.754148414,-87.61272102299999,90.0,56.0,0.74,78.0,68.0,0.12172893393020157,0.10089343317841598
76,42,41.845715401999996,-87.715898597,90.0,56.0,0.74,78.0,68.0,0.12429035069694502,0.06464675392435451
77,50,41.988586396,-87.85447335100001,90.0,56.0,0.74,78.0,68.0,0.030996646572229076,0.0
78,1,41.802359309,-87.643075919,90.0,56.0,0.74,78.0,68.0,0.08347923404105824,0.05519450021471727
80,24,41.659236018,-87.612015128,90.0,56.0,0.74,78.0,68.0,0.08003388922692806,0.014381213166522097
81,2,41.765752525,-87.56246520799999,90.0,56.0,0.74,78.0,68.0,0.04292907552931314,0.025142656300456832
82,2,41.657068876,-87.546048865,90.0,56.0,0.74,78.0,68.0,0.053708848533524145,0.05963816778460306
84,40,41.731446858000005,-87.649722253,90.0,56.0,0.74,78.0,68.0,0.11657350828742727,0.0675520383408037
85,5,41.9220638,-87.63223306,90.0,56.0,0.74,78.0,68.0,0.03267150317648483,0.0
87,19,41.774841115,-87.72800581899999,90.0,56.0,0.74,78.0,68.0,0.13883934145077015,0.013176293577738935
88,2,42.010529289000004,-87.66084506899999,90.0,56.0,0.74,78.0,68.0,0.028991438336231013,0.0
90,6,41.987880692,-87.666785075,90.0,56.0,0.74,78.0,68.0,0.09486117247401259,0.029284720946763213
91,36,41.913567582,-87.72630030200001,90.0,56.0,0.74,78.0,68.0,0.15274542569647204,0.045738345262628
93,3,42.010643274,-87.8067973,90.0,56.0,0.74,78.0,68.0,0.13891958244136354,0.0
94,40,41.778305156,-87.754366286,90.0,56.0,0.74,78.0,68.0,0.20367772356647734,0.047020504720180725
95,50,41.798210726,-87.73692496299999,90.0,56.0,0.74,78.0,68.0,0.14767048862528212,0.06585225705572206
96,4,41.728490034000004,-87.60852430799999,90.0,56.0,0.74,78.0,68.0,0.16772883671560634,0.036370581686491765
97,1,41.872872862,-87.764736532,90.0,56.0,0.74,78.0,68.0,0.04874109427865112,0.0
98,33,41.662386728,-87.590179728,90.0,56.0,0.74,78.0,68.0,0.06394618890004815,0.08226546020682089
99,12,41.731446858000005,-87.649722253,90.0,56.0,0.74,78.0,68.0,0.11657350828742727,0.0675520383408037
100,46,41.945961094,-87.83294247299999,90.0,56.0,0.74,78.0,68.0,0.08846750168155891,0.06011196910693973
101,42,41.774841115,-87.72800581899999,90.0,56.0,0.74,78.0,68.0,0.13883934145077015,0.013176293577738935
102,50,42.010643274,-87.8067973,90.0,56.0,0.74,78.0,68.0,0.13891958244136354,0.0
105,4,41.820858508,-87.665108095,90.0,56.0,0.74,78.0,68.0,0.09015996526655921,0.08386595529164773
106,41,41.896131093,-87.656762124,90.0,56.0,0.74,78.0,68.0,0.067642277648985,0.05707747606380519
107,2,41.776005391999995,-87.77940766799999,90.0,56.0,0.74,78.0,68.0,0.23427717022993666,0.04668353752713931
108,7,41.907284873,-87.701394637,90.0,56.0,0.74,78.0,68.0,0.011399562918056237,0.0
109,3,41.776005391999995,-87.77940766799999,90.0,56.0,0.74,78.0,68.0,0.23427717022993666,0.04668353752713931
110,15,41.93279021,-87.70023788399999,90.0,56.0,0.74,78.0,68.0,0.09877168701474114,0.031206648293880025
111,35,41.916134719,-87.801092809,90.0,56.0,0.74,78.0,68.0,0.13634802916183988,0.06328288475578461
112,8,41.964405454,-87.691370391,90.0,56.0,0.74,78.0,68.0,0.06434964199666891,0.05543865094831889
114,37,41.798210726,-87.73692496299999,90.0,56.0,0.74,78.0,68.0,0.14767048862528212,0.06585225705572206
115,27,41.791689564,-87.781635971,90.0,56.0,0.74,78.0,68.0,0.21350413447742417,0.043225784794208494
116,12,41.845715401999996,-87.715898597,90.0,56.0,0.74,78.0,68.0,0.12429035069694502,0.06464675392435451
117,19,41.994966304,-87.77083722,90.0,56.0,0.74,78.0,68.0,0.01892376454343158,0.013277618827599372
118,1,41.802359309,-87.643075919,90.0,56.0,0.74,78.0,68.0,0.08347923404105824,0.05519450021471727
120,1,41.945961094,-87.83294247299999,90.0,56.0,0.74,78.0,68.0,0.08846750168155891,0.06011196910693973
121,25,41.866915182,-87.654918844,90.0,56.0,0.74,78.0,68.0,0.1284681694148799,0.05048937790800792
122,2,41.681034931,-87.533436467,90.0,56.0,0.74,78.0,68.0,0.06758508811760848,0.03816218827005419
123,25,41.69549407,-87.609081766,90.0,56.0,0.74,78.0,68.0,0.07914175878343498,0.05351543432696032
124,29,41.988586396,-87.85447335100001,90.0,56.0,0.74,78.0,68.0,0.030996646572229076,0.0
125,5,41.778305156,-87.754366286,90.0,56.0,0.74,78.0,68.0,0.20367772356647734,0.047020504720180725
127,13,41.866915182,-87.654918844,90.0,56.0,0.74,78.0,68.0,0.1284681694148799,0.05048937790800792
128,6,41.773085400999996,-87.600167559,90.0,56.0,0.74,78.0,68.0,0.030236675229690358,0.03476478406912625
130,5,41.883711295,-87.71609209200001,90.0,56.0,0.74,78.0,68.0,0.0036916723257325573,0.0
131,41,41.964405454,-87.691370391,90.0,56.0,0.74,78.0,68.0,0.06434964199666891,0.05543865094831889
132,33,41.921776903,-87.632140452,90.0,56.0,0.74,78.0,68.0,0.03263564069143447,0.0
133,3,41.93279021,-87.70023788399999,90.0,56.0,0.74,78.0,68.0,0.09877168701474114,0.031206648293880025
134,3,41.925286783000004,-87.747459124,90.0,56.0,0.74,78.0,68.0,0.1893015206946959,0.06480129935215265
135,1,41.763370922,-87.637872614,90.0,56.0,0.74,78.0,68.0,0.10197529029133898,0.0
136,50,41.956298856,-87.797517445,90.0,56.0,0.74,78.0,68.0,0.0906973936468076,0.10511499496778832
137,24,41.768485667,-87.67946342799999,90.0,56.0,0.74,78.0,68.0,0.1293614383729444,0.07764220068890831
138,32,41.800597087,-87.711730345,90.0,56.0,0.74,78.0,68.0,0.16447870687533103,0.08145302645000929
139,6,41.891454521,-87.689762656,90.0,56.0,0.74,78.0,68.0,0.12795425318882578,0.014383210636362768
140,20,41.763370922,-87.637872614,90.0,56.0,0.74,78.0,68.0,0.10197529029133898,0.0
141,3,41.892219983000004,-87.691697729,90.0,56.0,0.74,78.0,68.0,0.11996094178493685,0.014914044650244868
142,14,41.704687214,-87.56423556200001,90.0,56.0,0.74,78.0,68.0,0.09636663549538735,0.0
143,46,41.965374859,-87.758411715,90.0,56.0,0.74,78.0,68.0,0.1306825213647994,0.015977599899029506
144,20,41.771198588000004,-87.703106608,90.0,56.0,0.74,78.0,68.0,0.028177845901324473,0.0
145,1,41.765752525,-87.56246520799999,84.0,56.0,2.07,74.0,59.0,0.04292907552931314,0.025142656300456832
146,3,41.953664151999995,-87.724987191,84.0,56.0,2.07,74.0,59.0,0.14245854743044195,0.008885545521705354
147,1,41.918675754,-87.66437444399999,84.0,56.0,2.07,74.0,59.0,0.0239061925174644,0.057672063933671976
148,1,41.710542402,-87.584558933,84.0,56.0,2.07,74.0,59.0,0.07422721791287477,0.0806016204354327
149,2,41.773085400999996,-87.600167559,84.0,56.0,2.07,74.0,59.0,0.030236675229690358,0.03476478406912625
150,24,41.791689564,-87.781635971,84.0,56.0,2.07,74.0,59.0,0.21350413447742417,0.043225784794208494
151,6,41.681034931,-87.533436467,84.0,56.0,2.07,74.0,59.0,0.06758508811760848,0.03816218827005419
152,7,41.657068876,-87.546048865,84.0,56.0,2.07,74.0,59.0,0.053708848533524145,0.05963816778460306
153,5,41.657068876,-87.546048865,84.0,56.0,2.07,74.0,59.0,0.053708848533524145,0.05963816778460306
154,4,41.913567582,-87.72630030200001,84.0,56.0,2.07,74.0,59.0,0.15274542569647204,0.045738345262628
155,5,41.904773448,-87.755685753,84.0,56.0,2.07,74.0,59.0,0.17405141762590076,0.0
156,12,41.778305156,-87.754366286,84.0,56.0,2.07,74.0,59.0,0.20367772356647734,0.047020504720180725
157,3,41.659236018,-87.612015128,84.0,56.0,2.07,74.0,59.0,0.08003388922692806,0.014381213166522097
158,8,41.825398256,-87.723962137,84.0,56.0,2.07,74.0,59.0,0.0,0.09706167969507173
159,4,41.662386728,-87.590179728,84.0,56.0,2.07,74.0,59.0,0.06394618890004815,0.08226546020682089
160,6,41.987880692,-87.666785075,84.0,56.0,2.07,74.0,59.0,0.09486117247401259,0.029284720946763213
161,45,41.731446858000005,-87.649722253,84.0,56.0,2.07,74.0,59.0,0.11657350828742727,0.0675520383408037
162,1,41.662386728,-87.590179728,84.0,56.0,2.07,74.0,59.0,0.06394618890004815,0.08226546020682089
163,6,41.867599254,-87.69578544299999,84.0,56.0,2.07,74.0,59.0,0.058564821377071745,0.03552739478951837
164,13,41.945961094,-87.83294247299999,84.0,56.0,2.07,74.0,59.0,0.08846750168155891,0.06011196910693973
165,6,41.73318788,-87.55562869,84.0,56.0,2.07,74.0,59.0,0.11392112323955408,0.0
166,1,41.925286783000004,-87.747459124,84.0,56.0,2.07,74.0,59.0,0.1893015206946959,0.06480129935215265
168,16,41.965374859,-87.758411715,84.0,56.0,2.07,74.0,59.0,0.1306825213647994,0.015977599899029506
169,1,41.896131093,-87.656762124,84.0,56.0,2.07,74.0,59.0,0.067642277648985,0.05707747606380519
170,13,41.801047857,-87.680424734,84.0,56.0,2.07,74.0,59.0,0.12005767619003087,0.02846289506117252
171,2,41.704687214,-87.56423556200001,84.0,56.0,2.07,74.0,59.0,0.09636663549538735,0.0
172,7,42.007997503,-87.778234965,84.0,56.0,2.07,74.0,59.0,0.07577168867150579,0.03129335234961226
173,22,41.742670478,-87.731550059,84.0,56.0,2.07,74.0,59.0,0.17819336289604845,0.05908290095055221
174,2,41.866915182,-87.654918844,84.0,56.0,2.07,74.0,59.0,0.1284681694148799,0.05048937790800792
175,10,41.845715401999996,-87.715898597,84.0,56.0,2.07,74.0,59.0,0.12429035069694502,0.06464675392435451
176,7,41.994966304,-87.77083722,84.0,56.0,2.07,74.0,59.0,0.01892376454343158,0.013277618827599372
177,2,41.742670478,-87.731550059,84.0,56.0,2.07,74.0,59.0,0.17819336289604845,0.05908290095055221
181,23,41.798210726,-87.73692496299999,84.0,56.0,2.07,74.0,59.0,0.14767048862528212,0.06585225705572206
182,1,41.768485667,-87.67946342799999,84.0,56.0,2.07,74.0,59.0,0.1293614383729444,0.07764220068890831
184,1,41.891454521,-87.689762656,84.0,56.0,2.07,74.0,59.0,0.12795425318882578,0.014383210636362768
185,4,41.907284873,-87.701394637,84.0,56.0,2.07,74.0,59.0,0.011399562918056237,0.0
188,13,41.923887364,-87.778909912,84.0,56.0,2.07,74.0,59.0,0.06688200940255568,0.0
189,1,41.962014638,-87.646847726,84.0,56.0,2.07,74.0,59.0,0.05932232011692888,0.006646072113459674
190,12,41.754148414,-87.61272102299999,84.0,56.0,2.07,74.0,59.0,0.12172893393020157,0.10089343317841598
191,23,41.964405454,-87.691370391,84.0,56.0,2.07,74.0,59.0,0.06434964199666891,0.05543865094831889
192,4,41.988586396,-87.85447335100001,84.0,56.0,2.07,74.0,59.0,0.030996646572229076,0.0
193,7,41.974522760999996,-87.80458947,84.0,56.0,2.07,74.0,59.0,0.1146846790141019,0.07265509856769375
194,23,41.987244608000005,-87.68941677,84.0,56.0,2.07,74.0,59.0,0.019956890581410404,0.006715006199679729
195,28,41.800597087,-87.711730345,84.0,56.0,2.07,74.0,59.0,0.16447870687533103,0.08145302645000929
196,4,41.892219983000004,-87.691697729,84.0,56.0,2.07,74.0,59.0,0.11996094178493685,0.014914044650244868
197,1,41.778128858,-87.586245035,84.0,56.0,2.07,74.0,59.0,0.066974128324774,0.0
198,9,41.710542402,-87.584558933,84.0,56.0,2.07,74.0,59.0,0.07422721791287477,0.0806016204354327
199,24,42.010643274,-87.8067973,84.0,56.0,2.07,74.0,59.0,0.13891958244136354,0.0
200,2,41.728490034000004,-87.60852430799999,84.0,56.0,2.07,74.0,59.0,0.16772883671560634,0.036370581686491765
201,10,41.872872862,-87.764736532,84.0,56.0,2.07,74.0,59.0,0.04874109427865112,0.0
203,8,41.69549407,-87.609081766,84.0,56.0,2.07,74.0,59.0,0.07914175878343498,0.05351543432696032
205,1,41.704338415,-87.657084272,84.0,56.0,2.07,74.0,59.0,0.12258131236267326,0.05287960915046234
206,1,42.010529289000004,-87.66084506899999,84.0,56.0,2.07,74.0,59.0,0.028991438336231013,0.0
208,17,41.765752525,-87.56246520799999,84.0,56.0,2.07,74.0,59.0,0.04292907552931314,0.025142656300456832
209,10,41.820858508,-87.665108095,84.0,56.0,2.07,74.0,59.0,0.09015996526655921,0.08386595529164773
210,1,41.800597087,-87.711730345,84.0,56.0,2.07,74.0,59.0,0.16447870687533103,0.08145302645000929
212,4,41.794366478,-87.648925137,84.0,56.0,2.07,74.0,59.0,0.08203692627075344,0.05106697677478291
213,10,41.731446858000005,-87.649722253,84.0,56.0,2.07,74.0,59.0,0.11657350828742727,0.0675520383408037
214,1,41.921776903,-87.632140452,84.0,56.0,2.07,74.0,59.0,0.03263564069143447,0.0
216,2,41.907284873,-87.701394637,84.0,56.0,2.07,74.0,59.0,0.011399562918056237,0.0
217,5,41.7212875,-87.665235702,84.0,56.0,2.07,74.0,59.0,0.09275289648574891,0.050119547841803266
218,5,41.704687214,-87.56423556200001,84.0,56.0,2.07,74.0,59.0,0.09636663549538735,0.0
219,1,41.825398256,-87.723962137,84.0,56.0,2.07,74.0,59.0,0.0,0.09706167969507173
220,4,41.947044495,-87.673061053,84.0,56.0,2.07,74.0,59.0,0.1291369397810233,0.027095658294971705
221,6,41.705327644,-87.632955365,84.0,56.0,2.07,74.0,59.0,0.14217400706326813,0.009569513509900485
222,1,41.676887316,-87.66122192600001,84.0,56.0,2.07,74.0,59.0,0.15363477605366546,0.07683150669973131
223,25,41.774841115,-87.72800581899999,84.0,56.0,2.07,74.0,59.0,0.13883934145077015,0.013176293577738935
224,4,41.891454521,-87.689762656,84.0,56.0,2.07,74.0,59.0,0.12795425318882578,0.014383210636362768
226,2,41.918675754,-87.66437444399999,84.0,56.0,2.07,74.0,59.0,0.0239061925174644,0.057672063933671976
227,4,41.69549407,-87.609081766,84.0,56.0,2.07,74.0,59.0,0.07914175878343498,0.05351543432696032
228,4,41.659236018,-87.612015128,84.0,56.0,2.07,74.0,59.0,0.08003388922692806,0.014381213166522097
229,24,41.7212875,-87.665235702,84.0,56.0,2.07,74.0,59.0,0.09275289648574891,0.050119547841803266
232,14,41.768485667,-87.67946342799999,84.0,56.0,2.07,74.0,59.0,0.1293614383729444,0.07764220068890831
234,26,41.763370922,-87.637872614,84.0,56.0,2.07,74.0,59.0,0.10197529029133898,0.0
235,6,41.993564362,-87.74542038700001,84.0,56.0,2.07,74.0,59.0,0.10059302343030734,0.0761341755075271
236,16,41.771198588000004,-87.703106608,84.0,56.0,2.07,74.0,59.0,0.028177845901324473,0.0
237,5,41.916134719,-87.801092809,84.0,56.0,2.07,74.0,59.0,0.13634802916183988,0.06328288475578461
238,4,41.845715401999996,-87.715898597,84.0,56.0,2.07,74.0,59.0,0.12429035069694502,0.06464675392435451
239,8,41.913567582,-87.72630030200001,84.0,56.0,2.07,74.0,59.0,0.15274542569647204,0.045738345262628
240,30,41.923887364,-87.778909912,84.0,56.0,2.07,74.0,59.0,0.06688200940255568,0.0
242,3,41.866915182,-87.654918844,84.0,56.0,2.07,74.0,59.0,0.1284681694148799,0.05048937790800792
243,5,41.896131093,-87.656762124,84.0,56.0,2.07,74.0,59.0,0.067642277648985,0.05707747606380519
244,3,41.710542402,-87.584558933,84.0,56.0,2.07,74.0,59.0,0.07422721791287477,0.0806016204354327
247,3,41.802359309,-87.643075919,84.0,56.0,2.07,74.0,59.0,0.08347923404105824,0.05519450021471727
248,11,41.891454521,-87.689762656,84.0,56.0,2.07,74.0,59.0,0.12795425318882578,0.014383210636362768
249,6,41.681034931,-87.533436467,84.0,56.0,2.07,74.0,59.0,0.06758508811760848,0.03816218827005419
250,10,41.73318788,-87.55562869,84.0,56.0,2.07,74.0,59.0,0.11392112323955408,0.0
251,27,41.916134719,-87.801092809,84.0,56.0,2.07,74.0,59.0,0.13634802916183988,0.06328288475578461
252,5,41.986319851,-87.728378456,84.0,56.0,2.07,74.0,59.0,0.05142467714415095,0.006352782672687366
253,23,41.778128858,-87.586245035,84.0,56.0,2.07,74.0,59.0,0.066974128324774,0.0
254,1,41.820858508,-87.665108095,84.0,56.0,2.07,74.0,59.0,0.09015996526655921,0.08386595529164773
255,1,41.778305156,-87.754366286,85.0,58.0,1.77,84.0,59.0,0.20367772356647734,0.047020504720180725
256,9,41.7212875,-87.665235702,85.0,58.0,1.77,84.0,59.0,0.09275289648574891,0.050119547841803266
257,27,41.771198588000004,-87.703106608,85.0,58.0,1.77,84.0,59.0,0.028177845901324473,0.0
258,8,41.773085400999996,-87.600167559,85.0,58.0,1.77,84.0,59.0,0.030236675229690358,0.03476478406912625
259,1,41.964405454,-87.691370391,85.0,58.0,1.77,84.0,59.0,0.06434964199666891,0.05543865094831889
260,1,41.947044495,-87.673061053,85.0,58.0,1.77,84.0,59.0,0.1291369397810233,0.027095658294971705
261,7,41.896131093,-87.656762124,85.0,58.0,1.77,84.0,59.0,0.067642277648985,0.05707747606380519
262,2,41.801047857,-87.680424734,85.0,58.0,1.77,84.0,59.0,0.12005767619003087,0.02846289506117252
263,25,41.916134719,-87.801092809,85.0,58.0,1.77,84.0,59.0,0.13634802916183988,0.06328288475578461
264,4,41.922736649,-87.63244996700001,85.0,58.0,1.77,84.0,59.0,0.030345566749604654,0.0
265,17,41.923887364,-87.778909912,85.0,58.0,1.77,84.0,59.0,0.06688200940255568,0.0
266,1,41.662386728,-87.590179728,85.0,58.0,1.77,84.0,59.0,0.06394618890004815,0.08226546020682089
267,25,41.820858508,-87.665108095,85.0,58.0,1.77,84.0,59.0,0.09015996526655921,0.08386595529164773
268,5,41.802359309,-87.643075919,85.0,58.0,1.77,84.0,59.0,0.08347923404105824,0.05519450021471727
270,50,41.916134719,-87.801092809,85.0,58.0,1.77,84.0,59.0,0.13634802916183988,0.06328288475578461
272,46,41.916134719,-87.801092809,85.0,58.0,1.77,84.0,59.0,0.13634802916183988,0.06328288475578461
273,6,41.918675754,-87.66437444399999,85.0,58.0,1.77,84.0,59.0,0.0239061925174644,0.057672063933671976
274,8,41.916134719,-87.801092809,85.0,58.0,1.77,84.0,59.0,0.13634802916183988,0.06328288475578461
275,35,41.956298856,-87.797517445,85.0,58.0,1.77,84.0,59.0,0.0906973936468076,0.10511499496778832
277,41,41.987244608000005,-87.68941677,85.0,58.0,1.77,84.0,59.0,0.019956890581410404,0.006715006199679729
278,2,41.891454521,-87.689762656,85.0,58.0,1.77,84.0,59.0,0.12795425318882578,0.014383210636362768
280,2,41.69549407,-87.609081766,85.0,58.0,1.77,84.0,59.0,0.07914175878343498,0.05351543432696032
281,7,41.676887316,-87.66122192600001,85.0,58.0,1.77,84.0,59.0,0.15363477605366546,0.07683150669973131
282,38,41.774841115,-87.72800581899999,85.0,58.0,1.77,84.0,59.0,0.13883934145077015,0.013176293577738935
283,12,41.945961094,-87.83294247299999,85.0,58.0,1.77,84.0,59.0,0.08846750168155891,0.06011196910693973
284,6,41.704687214,-87.56423556200001,85.0,58.0,1.77,84.0,59.0,0.09636663549538735,0.0
285,1,41.662386728,-87.590179728,85.0,58.0,1.77,84.0,59.0,0.06394618890004815,0.08226546020682089
286,8,41.913567582,-87.72630030200001,85.0,58.0,1.77,84.0,59.0,0.15274542569647204,0.045738345262628
287,8,41.921776903,-87.632140452,85.0,58.0,1.77,84.0,59.0,0.03263564069143447,0.0
288,12,41.705327644,-87.632955365,85.0,58.0,1.77,84.0,59.0,0.14217400706326813,0.009569513509900485
289,1,41.802359309,-87.643075919,85.0,58.0,1.77,84.0,59.0,0.08347923404105824,0.05519450021471727
290,9,41.922736649,-87.63244996700001,85.0,58.0,1.77,84.0,59.0,0.030345566749604654,0.0
291,5,41.918675754,-87.66437444399999,85.0,58.0,1.77,84.0,59.0,0.0239061925174644,0.057672063933671976
292,36,41.820858508,-87.665108095,85.0,58.0,1.77,84.0,59.0,0.09015996526655921,0.08386595529164773
293,4,41.659236018,-87.612015128,85.0,58.0,1.77,84.0,59.0,0.08003388922692806,0.014381213166522097
294,3,42.007997503,-87.778234965,85.0,58.0,1.77,84.0,59.0,0.07577168867150579,0.03129335234961226
295,1,41.845715401999996,-87.715898597,85.0,58.0,1.77,84.0,59.0,0.12429035069694502,0.06464675392435451
296,1,41.988586396,-87.85447335100001,85.0,58.0,1.77,84.0,59.0,0.030996646572229076,0.0
297,5,41.892219983000004,-87.691697729,85.0,58.0,1.77,84.0,59.0,0.11996094178493685,0.014914044650244868
298,22,41.791689564,-87.781635971,85.0,58.0,1.77,84.0,59.0,0.21350413447742417,0.043225784794208494
299,6,41.778305156,-87.754366286,85.0,58.0,1.77,84.0,59.0,0.20367772356647734,0.047020504720180725
