"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-11","6.93",",,W"," 1641",",,X"," 1748",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"86",",,0","58",",,0","  100",",,X","   80",",,X","15.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-12","8.72",",,W"," 1405",",,X"," 1206",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","62",",,0","   60",",,X","   70",",,X","17.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-13","8.50",",,W"," 1206",",,X"," 1338",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"87",",,0","60",",,0","   90",",,X","   50",",,X","17.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-14","6.71",",,W"," 1211",",,X"," 1228",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"89",",,0","64",",,0","   80",",,X","   70",",,X","15.0",",,X","28.0",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-15","4.92",",,W"," 1450",",,X"," 1536",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"91",",,0","63",",,0","   70",",,X","   70",",,X","15.0",",,X","25.1",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-16","5.82",",,W"," 1410",",,X"," 1409",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0,",,,"93",",,0","66",",,0","  320",",,X","  330",",,X","19.9",",,X","23.9",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-17","6.26",",,W"," 1402",",,X"," 1655",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"91",",,0","70",",,0","  120",",,X","   80",",,X","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-18","15.21",",,W"," 1452",",,X"," 1448",",,W","0.28",",,0,2400","0.0",",,0","0.0",",,0,",,,"89",",,0","69",",,0","  240",",,X","  230",",,X","36.0",",,X","51.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-19","11.41",",,W"," 1815",",,X"," 1725",",,W","0.58",",,0,2400","0.0",",,0","0.0",",,0,",,,"80",",,0","65",",,0","  280",",,X","  270",",,X","21.0",",,X","25.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-20","8.72",",,W"," 1414",",,X"," 1413",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"84",",,0","61",",,0","  300",",,X","  310",",,X","17.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-21","10.74",",,W"," 0812",",,X"," 1214",",,W","0.01",",,0,2400","0.0",",,0","0.0",",,0,",,,"77",",,0","61",",,0","  300",",,X","   50",",,X","17.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-22","8.72",",,W"," 1327",",,X"," 1331",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0,",,,"76",",,0","61",",,0","   80",",,X","   90",",,X","19.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-23","8.95",",,W"," 2019",",,X"," 0205",",,W","0.05",",,0,2400","0.0",",,0","0.0",",,0,",,,"67",",,0","62",",,0","  120",",,X","   60",",,X","16.1",",,X","21.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-24","8.05",",,W"," 2337",",,X"," 0537",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"77",",,0","63",",,0","  130",",,X","   80",",,X","12.1",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-25","6.71",",,W"," 2255",",,X"," 2355",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"89",",,0","65",",,0","  220",",,Z","  220",",,Z","11.0",",,Z","13.0",",,Z","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-26","7.16",",,W"," 1334",",,X"," 1334",",,W","0.16",",,0,2400","0.0",",,0","0.0",",,0,",,,"92",",,0","70",",,0","  230",",,X","  230",",,X","32.0",",,X","40.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-27","8.72",",,W"," 1448",",,X"," 1447",",,W","0.15",",,0,2400","0.0",",,0","0.0",",,0,",,,"91",",,0","71",",,0","  330",",,X","  320",",,X","25.9",",,X","34.9",",,X","    1",",,W",,,"    1",",,0",,,,,,,,,"    1",",,W",,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-28","12.53",",,W"," 0811",",,X"," 0738",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"74",",,0","58",",,0","   40",",,X","   40",",,Z","21.0",",,X","32.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-29","8.28",",,W"," 1515",",,X"," 1740",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"70",",,0","56",",,0","   40",",,X","   50",",,X","14.1",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-06-30","5.82",",,W"," 1711",",,X"," 1634",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"79",",,0","54",",,0","   40",",,X","   50",",,X","15.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-01","8.50",",,W"," 1439",",,X"," 1322",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"75",",,0","54",",,0","   50",",,X","   60",",,X","15.0",",,X","31.1",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-02","8.05",",,W"," 1526",",,X"," 1423",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"79",",,0","53",",,0","  110",",,X","   80",",,X","17.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-03","7.38",",,W"," 1845",",,X"," 1843",",,W","0.40",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","60",",,0","  200",",,X","  200",",,X","17.0",",,X","21.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-04","8.28",",,W"," 0029",",,X"," 0026",",,W","0.16",",,0,2400","0.0",",,0","0.0",",,0,",,,"86",",,0","67",",,0","  170",",,X","  180",",,X","21.0",",,X","25.1",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-05","8.05",",,W"," 1701",",,X"," 0607",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"89",",,0","71",",,0","  300",",,X","   10",",,X","17.9",",,X","25.1",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-06","5.59",",,W"," 1632",",,X"," 1123",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"86",",,0","66",",,0","   90",",,X","   40",",,Z","13.0",",,X","15.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-07","8.50",",,W"," 1756",",,X"," 1640",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"90",",,0","64",",,0","  220",",,X","  210",",,X","17.9",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-08","13.20",",,W"," 1639",",,X"," 1637",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"94",",,0","75",",,0","  230",",,X","  240",",,X","23.9",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-09","8.72",",,W"," 1505",",,X"," 1504",",,W","0.30",",,0,2400","0.0",",,0","0.0",",,0,",,,"94",",,0","70",",,0","  320",",,X","  330",",,X","25.9",",,X","34.9",",,X",,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-10","10.51",",,W"," 1545",",,X"," 1544",",,W","0.43",",,0,2400","0.0",",,0","0.0",",,0,",,,"89",",,0","69",",,0","  270",",,X","  280",",,X","25.1",",,X","33.1",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-11","10.96",",,W"," 1732",",,X"," 0359",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"77",",,0","62",",,0","  260",",,X","  320",",,X","19.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-12","11.18",",,W"," 1056",",,X"," 1525",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"80",",,0","61",",,0","  300",",,X","  280",",,X","23.0",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-13","5.37",",,W"," 1603",",,X"," 1438",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"78",",,0","58",",,0","   50",",,X","   60",",,X","13.0",",,X","23.0",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-14","13.20",",,W"," 1118",",,X"," 1116",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"84",",,0","61",",,0","  250",",,X","  260",",,X","23.0",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-15","4.92",",,W"," 1623",",,X"," 1215",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"82",",,0","60",",,0","  280",",,X","  320",",,X","13.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-16","5.14",",,W"," 2248",",,X"," 1304",",,W","0.39",",,0,2400","0.0",",,0","0.0",",,0,",,,"82",",,0","65",",,0","  170",",,X","  250",",,X","14.1",",,X","17.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-17","6.49",",,W"," 1520",",,X"," 0726",",,W","0.11",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","68",",,0","  240",",,X","  230",",,X","13.0",",,X","17.0",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-18","10.07",",,W"," 1942",",,X"," 1944",",,W","1.55",",,0,2400","0.0",",,0","0.0",",,0,",,,"85",",,0","69",",,0","  320",",,X","  320",",,X","32.0",",,X","42.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-19","11.86",",,W"," 1257",",,X"," 1342",",,W","0.16",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","63",",,0","   40",",,X","   40",",,X","25.9",",,X","36.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-20","9.17",",,W"," 0937",",,X"," 1209",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"75",",,0","58",",,0","   60",",,X","   60",",,X","16.1",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-21","7.38",",,W"," 0922",",,X"," 1021",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"74",",,0","58",",,0","   40",",,X","   50",",,X","15.0",",,X","25.9",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-22","3.36",",,W"," 1556",",,X"," 1555",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"81",",,0","58",",,0","   90",",,X","   90",",,X","14.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-23","4.03",",,W"," 1602",",,X"," 1602",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","60",",,0","   90",",,X","   80",",,X","14.1",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-24","5.14",",,W"," 1603",",,X"," 1602",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"82",",,0","65",",,0","  130",",,X","  130",",,X","16.1",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-25","6.71",",,W"," 1536",",,X"," 1536",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0,",,,"85",",,0","71",",,0","  250",",,X","  250",",,X","15.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-26","9.40",",,W"," 0311",",,X"," 0310",",,W","0.19",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","66",",,0","   70",",,X","   70",",,X","28.0",",,X","36.9",",,X","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-27","7.83",",,W"," 2246",",,X"," 1437",",,W","0.17",",,0,2400","0.0",",,0","0.0",",,0,",,,"83",",,0","70",",,0","   10",",,X","   70",",,X","15.0",",,X","30.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-28","10.29",",,W"," 1706",",,X"," 1515",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"80",",,0","66",",,0","   40",",,X","   50",",,X","16.1",",,X","30.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-29","5.82",",,W"," 1519",",,X"," 1214",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"85",",,0","63",",,0","   40",",,X","   60",",,X","14.1",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-30","4.25",",,W"," 1800",",,X"," 1144",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"89",",,0","62",",,0","   50",",,X","   50",",,X","12.1",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96019","-87.93162","201.8","2007-07-31","4.92",",,W"," 1501",",,X"," 1352",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0,",,,"91",",,0","68",",,0","   80",",,X","   40",",,X","13.0",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
